Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
52,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646212,9.991643464,1.279532221,301.3390659,23.47246659,87.9375,35.00980392,66.06122449,9.991643464,7.039711189,0.010749087,1,0,0,0,0
53,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646212,9.991650238,1.279747555,301.509118,23.47096325,87.95,34.91176471,66.10204082,9.991650238,6.946879104,0.010942056,1,0,0,0,0
54,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646211,9.99165662,1.279843542,301.6949322,23.46929118,87.95625,34.81372549,66.14285714,9.99165662,6.664666172,0.011127186,1,0,0,0,0
55,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646211,9.991662633,1.279953575,301.8399863,23.46741752,87.96875,34.71568627,66.18367347,9.991662633,7.394478967,0.011332588,1,0,0,0,0
56,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991668298,1.280291463,302.0689944,23.46530422,87.98125,34.59803922,66.2244898,9.991668298,5.891294047,0.011496235,1,0,0,0,0
57,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991673635,1.280771067,302.2398305,23.46290713,87.9875,34.5,66.24489796,9.991673635,6.932865035,0.011688815,1,0,0,0,0
58,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991678663,1.281770618,302.4325284,23.46131388,88,34.40196078,66.26530612,9.991678663,6.541436041,0.011870521,1,0,0,0,0
59,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991683401,1.2818219,302.6951258,23.45970566,88.0125,34.23529412,66.28571429,9.991683401,5.289895048,0.012017463,1,0,0,0,0
60,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991687865,1.2818219,302.8608625,23.45810807,88.025,34.14705882,66.32653061,9.991687865,7.024183671,0.012212579,1,0,0,0,0
61,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.99169207,1.2818219,303.0076291,23.45655649,88.03125,34.05882353,66.36734694,9.99169207,7.36384621,0.01241713,1,0,0,0,0
62,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991696032,1.2818219,303.2684998,23.45509854,88.04375,33.88235294,66.40816327,9.991696032,5.320824123,0.012564931,1,0,0,0,0
63,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991699765,1.2818219,303.4460524,23.45379711,88.05625,33.7745098,66.44897959,9.991699765,6.812632696,0.012754171,1,0,0,0,0
64,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991703282,1.2818219,303.6199597,23.45254431,88.0625,33.65686275,66.48979592,9.991703282,6.877905058,0.012945224,1,0,0,0,0
65,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991706595,1.2818219,303.7301777,23.45135075,88.075,33.55882353,66.53061224,9.991706595,8.018260899,0.013167953,1,0,0,0,0
66,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991709717,1.281837584,303.9584738,23.45022453,88.0875,33.39215686,66.57142857,9.991709717,5.904083777,0.013331956,1,0,0,0,0
67,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991712658,1.281837584,304.0624554,23.44916921,88.1,33.32352941,66.6122449,9.991712658,8.129929275,0.013557787,1,0,0,0,0
68,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991715429,1.281837584,304.2662158,23.44818098,88.10625,33.14705882,66.65306122,9.991715429,6.343399507,0.013733992,1,0,0,0,0
69,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.99171804,1.281837584,304.4499862,23.44724496,88.11875,33.01960784,66.69387755,9.99171804,6.70132169,0.01392014,1,0,0,0,0
70,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991720499,1.281837584,304.7122743,23.44636174,88.13125,32.82352941,66.73469388,9.991720499,5.295470141,0.014067237,1,0,0,0,0
71,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991722817,1.281837584,304.9093683,23.44553024,88.14375,32.70588235,66.7755102,9.991722817,6.462768327,0.014246758,1,0,0,0,0
