Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
78,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534143721,10.00138223,1.326155308,310.2562151,19.53153616,88.675,26.30392157,59.6122449,10.00138223,10.00138223,0.015731121,1,0,0,0,0
79,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534198183,10.00164018,1.326155308,310.2562151,19.53498215,88.69375,26.14705882,59.55102041,10.00164018,10.00164018,0.016008945,1,0,0,0,0
80,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534244745,10.00188299,1.326155308,310.2496071,19.53822589,88.70625,25.99019608,59.51020408,10.00188299,10.12019877,0.016290061,1,0,0,0,0
81,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534284554,10.00211141,1.326155308,310.1728382,19.5412773,88.71875,25.88235294,59.44897959,10.00211141,11.37665327,0.016606079,1,0,0,0,0
82,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534318619,10.00232654,1.326155308,310.1728382,19.54415112,88.73125,25.70588235,59.3877551,10.00232654,10.00232654,0.016883922,1,0,0,0,0
83,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534347769,10.00252947,1.326155308,310.1674549,19.5468621,88.75,25.54901961,59.32653061,10.00252947,10.09891709,0.017164447,1,0,0,0,0
84,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.5343727,10.00272068,1.326155308,310.1674549,19.54941643,88.7625,25.38235294,59.26530612,10.00272068,10.00272068,0.017442301,1,0,0,0,0
85,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534394026,10.00290076,1.326155308,310.1644617,19.55182214,88.775,25.2254902,59.20408163,10.00290076,10.0564938,0.017721648,1,0,0,0,0
86,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534412271,10.00307039,1.326155308,310.1669779,19.55408818,88.7875,25.06862745,59.14285714,10.00307039,9.958018002,0.017998259,1,0,0,0,0
87,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.53442788,10.00323022,1.326175097,310.1657075,19.55622333,88.8,24.91176471,59.08163265,10.00323022,10.02597664,0.018276759,1,0,0,0,0
